timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689419780,7351,get_product_list,200,OK,login_logout 4-10,text,true,,1113171,246,23,43,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,5141,0,52
1537689420764,6672,delete_product,200,OK,login_logout 4-1,text,true,,300,252,23,43,http://193.105.219.194:8080/api/gds-release/v1/products/2937,6672,0,34
1537689419695,7785,get_product_list,200,OK,login_logout 4-13,text,true,,1113171,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,5878,0,53
1537689419780,8014,get_product_list,200,OK,login_logout 4-3,text,true,,1112909,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,5820,0,54
1537689420959,6953,get_product_family,200,OK,login_make_delete_logout 2-5,text,true,,8609,200,10,42,http://193.105.219.194:8080/api/gds-release/v1/product-family/,6953,0,18
1537689421128,6786,logout_post,200,OK,login_delete_logout 3-5,,true,,251,250,5,42,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,6786,0,17
1537689420576,7374,get_product_list,200,OK,login_logout 4-11,text,true,,1112650,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,5371,0,44
1537689420724,7680,get_product_list,200,OK,login_logout 4-22,text,true,,1112458,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,6277,0,40
1537689420634,7838,get_product_list,200,OK,login_logout 4-20,text,true,,1112458,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,6309,0,50
1537689420634,7863,get_product_list,200,OK,login_logout 4-14,text,true,,1112458,246,22,42,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,6335,0,50
